方法名,平均绝对误差,最差误差,平均AUC,平均Brier,平均ECE
M2 distance曲线,12.97,27.88,0.6033,0.0729,0.0199
M0 基线(历史核销率),32.3,50.47,0.5,0.0744,0.0277
M1 19特征XGB,298.31,368.11,0.5413,0.2184,0.2938
