实验,AUC,结论
A 全特征 + 随机切分（v1 原样）,0.9881,三类泄漏叠加，严重虚高
B 只删 mean_interval 特征,0.9849,几乎不掉 -> 泄漏冗余分布，删特征无效
C 删全部用户/券聚合特征,0.8583,仍偏高 -> 自指泄漏未除（聚合仍覆盖全量）
