方法,预测总量,实际总量,总量误差%,AUC,Brier,ECE,方法名
轮 train<=3→eval5 · M0 基线(历史核销率),9325,18828,-50.47,0.5,0.0925,0.0505,M0 基线(历史核销率)
轮 train<=3→eval5 · M1 19特征XGB,88137,18828,368.11,0.495,0.3202,0.4247,M1 19特征XGB
轮 train<=3→eval5 · M2 distance曲线,13578,18828,-27.88,0.6139,0.0893,0.0279,M2 distance曲线
轮 train<=4→eval6 · M0 基线(历史核销率),3928,5718,-31.3,0.5,0.0655,0.0219,M0 基线(历史核销率)
轮 train<=4→eval6 · M1 19特征XGB,23814,5718,316.48,0.5062,0.1797,0.2679,M1 19特征XGB
轮 train<=4→eval6 · M2 distance曲线,5610,5718,-1.88,0.5981,0.0647,0.0154,M2 distance曲线
轮 train<=5→eval6 · M0 基线(历史核销率),4853,5718,-15.12,0.5,0.0651,0.0106,M0 基线(历史核销率)
轮 train<=5→eval6 · M1 19特征XGB,17745,5718,210.33,0.6227,0.1554,0.1888,M1 19特征XGB
轮 train<=5→eval6 · M2 distance曲线,6241,5718,9.15,0.598,0.0648,0.0163,M2 distance曲线
