dbin,行数,预测核销,曲线核销率%,贡献%
"(-1.0, 0.5]",43556,5039.015092811456,11.57,73.5
"(0.5, 1.5]",18306,917.6475592718477,5.01,13.4
"(1.5, 2.5]",9438,333.02801461632157,3.53,4.9
"(2.5, 4.5]",9839,260.8843574199762,2.65,3.8
"(4.5, 7.5]",6767,138.04661168436516,1.99,2.0
"(7.5, 100.0]",12763,169.74665923312025,1.31,2.5
