训练段,训练行数,训练段核销率%,6月AUC,6月行中老券占比%
1-1月,"339,266",2.53,0.5931,0.8
1-2月,"457,965",2.93,0.4948,0.8
1-3月,"550,975",4.95,0.5084,1.5
1-4月,"677,143",4.8,0.5062,6.8
1-5月,"865,468",5.93,0.6227,31.2
