口径,值,说明
点估计,"6,858 张",Σpred_prob 四舍五入
乐观（跨段最好一轮 +9.2%）,"7,486 张",按最好一轮的外推
悲观（跨段最差一轮 -27.9%）,"4,946 张",按最差一轮的外推
历史月度核销数均值,"9,510 张",不用模型的朴素对照
