mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.569948355356852,0.6411616175615584,1.0127572218577068,0.1369687455308349,0.05,4,100,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100}",0.9858820970044571,0.9861308522721798,0.9860547562675518,0.9860225685147296,0.00010407316137781914,12
23.03092662493388,0.336589541241456,1.6783515612284343,0.2900616240001287,0.05,4,200,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}",0.9870487507193044,0.9871855962509036,0.9871651946456882,0.9871331805386321,6.02790851933316e-05,9
13.431737899780273,0.8773958054989525,1.1806724071502686,0.030938108248240698,0.05,6,100,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100}",0.9869753076147854,0.9871883943022945,0.9870783515627635,0.987080684493281,8.700791543306055e-05,11
22.025527954101562,0.1942625943200621,2.4780107339223227,0.2862257145052275,0.05,6,200,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}",0.9875634869749081,0.987768143795508,0.9877230922320778,0.987684907667498,8.780527426688727e-05,5
13.307984987894693,0.12435605720798334,1.1998747984568279,0.08403110944035252,0.05,8,100,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100}",0.9873633313433421,0.9875670921618319,0.9875910771917454,0.9875071668989732,0.00010217736446251935,8
23.38073714574178,0.7852569557737862,2.2576831181844077,0.09201462522182996,0.05,8,200,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200}",0.9877554277080923,0.9879229980974648,0.9879520786962225,0.9878768348339265,8.666482546191716e-05,2
10.928374608357748,0.16360940366524906,0.8119839032491049,0.024244922364030176,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.9869978769569827,0.9871419133450035,0.987196990465813,0.987112260255933,8.394850254070323e-05,10
20.952387889226276,0.5134259934806206,1.4238530000050862,0.09460451086288581,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.9876149390620895,0.9877824922872005,0.9877669263404395,0.9877214525632433,7.558403323739668e-05,4
11.765236934026083,0.5598819391251948,1.1304508845011394,0.024245254834489815,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9875246515885345,0.9876919348917986,0.9876666966001566,0.9876277610268299,7.363382393277854e-05,7
21.372575998306274,0.12724274375254518,1.8420170942942302,0.060747906457930746,0.1,6,200,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9878481401872039,0.9880523467227946,0.9880273656148864,0.9879759508416283,9.094938693718437e-05,1
12.486016035079956,0.7390823065467269,1.06521209081014,0.11697425057759069,0.1,8,100,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",0.9877387717306633,0.9877853747756818,0.9878728211412547,0.9877989892158666,5.556573198257481e-05,3
23.495208819707234,0.5073144164689705,1.9072256088256836,0.10611130369827634,0.1,8,200,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200}",0.9875419216035599,0.9876378922469949,0.9877040006486391,0.987627938166398,6.654180141755538e-05,6
