轮次,曲线窗口,预测总量,实际总量,总量误差%,AUC
train<=3→eval5,全历史,13578,18828,-27.88,0.6139
train<=3→eval5,最近3个月,13578,18828,-27.88,0.6139
train<=3→eval5,最近2个月,18756,18828,-0.38,0.6139
train<=4→eval6,全历史,5610,5718,-1.88,0.5981
train<=4→eval6,最近3个月,6880,5718,20.32,0.598
train<=4→eval6,最近2个月,7872,5718,37.67,0.598
train<=5→eval6,全历史,6241,5718,9.15,0.598
train<=5→eval6,最近3个月,8006,5718,40.01,0.598
train<=5→eval6,最近2个月,6760,5718,18.22,0.5981
