mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.095097541809082,0.35640399214871193,0.12903205553690592,0.01062508306298423,5,20,50,"{'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 50}",0.9771822012486617,0.9772830292395468,0.9771869532232405,0.977217394570483,4.6451247941151523e-05,28
3.7302337487538657,0.08232484532617335,0.15973909695943198,0.015655264641618913,5,20,100,"{'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 100}",0.9771822012486617,0.9772830292395468,0.9771869532232405,0.977217394570483,4.6451247941151523e-05,28
3.1511716842651367,0.2914870553311933,0.1362916628519694,0.010344469929909885,5,20,200,"{'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 200}",0.9771788086771005,0.9772830292395468,0.9771869532232405,0.977216263713296,4.7327300293624456e-05,33
3.158310572306315,0.23790188012152458,0.14434401194254556,0.011479168814535774,5,50,50,"{'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 50}",0.9771822012486617,0.9772426242922388,0.9771869532232405,0.9772039262547136,2.743232760599444e-05,34
3.365278164545695,0.5467601841062301,0.1438439687093099,0.02539289058311918,5,50,100,"{'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 100}",0.9771822012486617,0.9772426242922388,0.9771869532232405,0.9772039262547136,2.743232760599444e-05,34
2.9517903327941895,0.3308539616834208,0.12243938446044922,0.00694983803767474,5,50,200,"{'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 200}",0.9771788086771005,0.9772426242922388,0.9771869532232405,0.9772027953975266,2.83588792497878e-05,36
2.919776519139608,0.307362726671811,0.12211879094441731,0.003522565800304635,5,100,50,"{'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.9772055773111271,0.9772693493235056,0.9771769388036945,0.9772172884794424,3.8624600454654e-05,30
3.0390429496765137,0.4327978256546092,0.13262629508972168,0.009415176778683362,5,100,100,"{'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.9772055773111271,0.9772693493235056,0.9771769388036945,0.9772172884794424,3.8624600454654e-05,30
3.21362042427063,0.4733225069429535,0.15754779179890951,0.02662691132924682,5,100,200,"{'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 200}",0.9772055773111271,0.9772693493235056,0.9771769388036945,0.9772172884794424,3.8624600454654e-05,30
3.590139389038086,0.3570822592073019,0.16533803939819336,0.024446610356862564,8,20,50,"{'max_depth': 8, 'min_samples_leaf': 20, 'min_samples_split': 50}",0.9823962804567963,0.9820198387286341,0.9822094785647841,0.9822085325834049,0.00015368314771202436,25
3.39850648244222,0.45509998382823424,0.18636624018351236,0.027483278067225853,8,20,100,"{'max_depth': 8, 'min_samples_leaf': 20, 'min_samples_split': 100}",0.9824338184188262,0.9820381910610549,0.9825878561883209,0.9823532885560673,0.00023151203299186577,24
3.8566153049468994,0.637305362298242,0.17066065470377603,0.030903091520102823,8,20,200,"{'max_depth': 8, 'min_samples_leaf': 20, 'min_samples_split': 200}",0.9824556978684671,0.9820823749142187,0.9826464116193792,0.9823948281340217,0.00023425512391502554,23
3.755176385243734,0.4850932314423943,0.15302133560180664,0.003977119730432124,8,50,50,"{'max_depth': 8, 'min_samples_leaf': 50, 'min_samples_split': 50}",0.9823797262191402,0.9822129107804103,0.9829202961037082,0.9825043110344196,0.0003019266258027909,21
3.6009804407755532,0.336029455673699,0.16685104370117188,0.00345795865515278,8,50,100,"{'max_depth': 8, 'min_samples_leaf': 50, 'min_samples_split': 100}",0.9823797262191402,0.9822129107804103,0.9829202961037082,0.9825043110344196,0.0003019266258027909,21
3.9996753533681235,0.40649024649403753,0.2000261147816976,0.05139465604545756,8,50,200,"{'max_depth': 8, 'min_samples_leaf': 50, 'min_samples_split': 200}",0.9825474411205163,0.9822501321725615,0.9831071907777468,0.9826349213569415,0.0003553185960086024,20
4.094385385513306,0.6729929504755032,0.20839532216389975,0.03724800654687074,8,100,50,"{'max_depth': 8, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.9826595821588993,0.9822619338478128,0.9831046705276096,0.9826753955114406,0.00034422746787330163,17
3.8052639166514077,0.3167703835027143,0.1556121508280436,0.008433969132899687,8,100,100,"{'max_depth': 8, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.9826595821588993,0.9822619338478128,0.9831046705276096,0.9826753955114406,0.00034422746787330163,17
3.997750679651896,0.22432410751996051,0.173663059870402,0.015909577316499033,8,100,200,"{'max_depth': 8, 'min_samples_leaf': 100, 'min_samples_split': 200}",0.9826595821588993,0.9822619338478128,0.9831046705276096,0.9826753955114406,0.00034422746787330163,17
4.077417691548665,0.17900958262136749,0.15987475713094076,0.002545732948317167,10,20,50,"{'max_depth': 10, 'min_samples_leaf': 20, 'min_samples_split': 50}",0.982505191430412,0.9829549677406685,0.983064266517474,0.9828414752295181,0.00024193890524778263,16
4.598605553309123,0.6171261025740634,0.16128857930501303,0.017646185447853072,10,20,100,"{'max_depth': 10, 'min_samples_leaf': 20, 'min_samples_split': 100}",0.9827979781492712,0.9831625532825172,0.9836831693282392,0.9832145669200091,0.0003632445637992444,15
3.955472230911255,0.4113027504840715,0.15758403142293295,0.017556677937137843,10,20,200,"{'max_depth': 10, 'min_samples_leaf': 20, 'min_samples_split': 200}",0.9831578213449098,0.983431981795279,0.9838600623175595,0.9834832884859162,0.00028897506039460497,14
4.300125360488892,0.23838595203129437,0.16874305407206217,0.010838310927798883,10,50,50,"{'max_depth': 10, 'min_samples_leaf': 50, 'min_samples_split': 50}",0.9829147533997107,0.983554415299736,0.9841877137992128,0.9835522941662198,0.0005196860713165682,12
4.060784578323364,0.20464024615942855,0.18789935111999512,0.0139459785001724,10,50,100,"{'max_depth': 10, 'min_samples_leaf': 50, 'min_samples_split': 100}",0.9829147533997107,0.983554415299736,0.9841877137992128,0.9835522941662198,0.0005196860713165682,12
4.208771705627441,0.36032357527643394,0.16127649943033853,0.009973392155284498,10,50,200,"{'max_depth': 10, 'min_samples_leaf': 50, 'min_samples_split': 200}",0.9833006949926673,0.9836992657443624,0.9843784636655712,0.9837928081342003,0.0004449411662199445,8
4.111836036046346,0.33198588358750314,0.2011408805847168,0.020350179483101503,10,100,50,"{'max_depth': 10, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.9835272271102641,0.9838423866128473,0.9844181460815968,0.9839292532682361,0.0003688662948675562,5
4.0779651800791425,0.27447932959664195,0.15880966186523438,0.008458623591849027,10,100,100,"{'max_depth': 10, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.9835272271102641,0.9838423866128473,0.9844181460815968,0.9839292532682361,0.0003688662948675562,5
3.958094755808512,0.4117776860283766,0.1636350154876709,0.001383751787932432,10,100,200,"{'max_depth': 10, 'min_samples_leaf': 100, 'min_samples_split': 200}",0.9835272271102641,0.9838423866128473,0.9844181460815968,0.9839292532682361,0.0003688662948675562,5
4.4105087121327715,0.5049960161716401,0.18129698435465494,0.019699836180978546,15,20,50,"{'max_depth': 15, 'min_samples_leaf': 20, 'min_samples_split': 50}",0.9784823291020308,0.9808062608309809,0.978546105282982,0.9792782317386646,0.0010807933908439453,27
4.381956656773885,0.7170816278347719,0.1674369970957438,0.005674591464976606,15,20,100,"{'max_depth': 15, 'min_samples_leaf': 20, 'min_samples_split': 100}",0.981201723190372,0.9826583000993374,0.9815438292458721,0.9818012841785272,0.0006218876397410852,26
4.155163447062175,0.24368399191668788,0.1649494171142578,0.007519148370014084,15,20,200,"{'max_depth': 15, 'min_samples_leaf': 20, 'min_samples_split': 200}",0.9831743685230716,0.984400914296776,0.9837716682156425,0.9837823170118302,0.0005007918272717148,9
4.04958709081014,0.3291753426761043,0.16356277465820312,0.010139851893374354,15,50,50,"{'max_depth': 15, 'min_samples_leaf': 50, 'min_samples_split': 50}",0.9828891956766155,0.9840706838809011,0.9837185847463666,0.9835594881012945,0.000495286046018838,10
4.129619677861531,0.27865725798468255,0.14607572555541992,0.014581618371002034,15,50,100,"{'max_depth': 15, 'min_samples_leaf': 50, 'min_samples_split': 100}",0.9828891956766155,0.9840706838809011,0.9837185847463666,0.9835594881012945,0.000495286046018838,10
3.977666219075521,0.23829865966408736,0.12650084495544434,0.007681487231112763,15,50,200,"{'max_depth': 15, 'min_samples_leaf': 50, 'min_samples_split': 200}",0.9840485192830528,0.9850529804206677,0.9846771838328582,0.9845928945121929,0.00041437829852145525,4
3.7795890967051187,0.14231112491291067,0.1188669204711914,0.012661073020925144,15,100,50,"{'max_depth': 15, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.9845655587333284,0.9850687585291981,0.9853976960364089,0.9850106710996451,0.0003421926698012673,1
3.5712619622548423,0.18046298775310132,0.11216386159261067,0.00512987515336086,15,100,100,"{'max_depth': 15, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.9845655587333284,0.9850687585291981,0.9853976960364089,0.9850106710996451,0.0003421926698012673,1
3.1329023043314614,0.013769608786917879,0.09367601076761882,0.017688194320625947,15,100,200,"{'max_depth': 15, 'min_samples_leaf': 100, 'min_samples_split': 200}",0.9845655587333284,0.9850687585291981,0.9853976960364089,0.9850106710996451,0.0003421926698012673,1
