版本,样本,"corr(user_mean_interval, class)",判读
v1（有泄漏）,"全量 947,279 行",-0.5610,泄漏指纹——与标签强相关
最终版（无泄漏）,"验证段 81,811 行（6 月）",-0.0826,相关性塌缩，泄漏已切断
