实验,AUC,相对 v1 变化
A 全特征 + 随机切分（v1 原样）,0.9881,—
B 只删 mean_interval 特征,0.9849,-0.0032
C 删全部用户/券聚合特征,0.8583,-0.1298
D 时间切分 + 仅训练段聚合,0.6068,-0.3813
