learning_rate,max_depth,n_estimators,val_auc
0.05,4,100,0.6227166162582285
0.1,8,200,0.6222151875905134
0.1,8,100,0.6186018175224335
0.1,6,100,0.6157939017913625
0.05,4,200,0.6148523372940202
0.1,6,200,0.6118247190815596
0.05,6,100,0.6087544095115986
0.05,8,100,0.6052434619283439
0.1,4,100,0.60051187133
0.05,8,200,0.5979751026025585
0.1,4,200,0.5973209055263724
0.05,6,200,0.5942774472689109
